method,paths,steps,price,elapsed_ms,standard_error,ci95_low,ci95_high,reference_price,absolute_error,relative_error_pct,throughput_paths_sec,estimated_peak_mb,time_vs_black76_x,reference_in_ci95,combined_error_z
Black-76,,,6.038492365452517,0.00078153,,,,6.038492365452517,0.0,0.0,,0.0,1.0,,
Asian GBM,5000,64,3.091942791424584,7.2084,0.08120814999547729,2.9327748174334487,3.2511107654157194,3.1267019338228277,0.034759142398243625,1.1116871110175106,693635.2033738416,2.44140625,9223.446316840045,True,0.4259068891187906
Asian GBM,25000,64,3.1008141365358326,36.2459,0.03621521069763215,3.0298323235684737,3.1717959495031915,3.1267019338228277,0.025887797286995085,0.8279585913500765,689733.1836152503,12.20703125,46378.13007817998,True,0.6975568666537914
Asian GBM,100000,64,3.1206723265345,138.526,0.01810557693073604,3.0851853957502575,3.156159257318743,3.1267019338228277,0.006029607288327465,0.19284240762135688,721886.1441173498,12.20703125,177249.75368827814,True,0.3039300011236044
Asian OU,5000,64,1.3085565301605768,3.1871,0.038888988740522996,1.2323341122291518,1.3847789480920019,1.297808638595736,0.010747891564840906,0.8281568827027084,1568824.3230523046,0.152587890625,4078.0264353255793,True,0.27505163763588597
Asian OU,25000,64,1.3057963660226737,16.6315,0.016989448392237684,1.272497047173888,1.3390956848714595,1.297808638595736,0.007987727426937763,0.6154780596606831,1503171.692270691,0.762939453125,21280.692999628933,True,0.4587208108398181
Asian OU,100000,64,1.317663501555883,58.8819,0.008595950846190836,1.300815437897349,1.334511565214417,1.297808638595736,0.019854862960147157,1.5298760055743392,1698314.762261408,0.762939453125,75341.82948831138,False,2.1109864694359577
